time,Iu,Iv,Iw,Id,Iq,Angle,Speed,Vd,Vq,EncMech
815725,0.048,-0.04,0.02,-0.003,0.059,0.642,93.99,-0.136,0.207,
815725,0.048,-0.086,0.043,0.032,0.083,0.652,93.99,-0.143,0.203,
815725,0.06,-0.063,-0.025,-0.013,0.062,0.661,93.99,-0.134,0.207,
815725,0.048,-0.086,-0.002,0.019,0.065,0.67,93.99,-0.141,0.207,
815725,0.071,-0.063,-0.002,0.001,0.079,0.68,93.99,-0.137,0.204,
815725,0.083,-0.097,0.008,0.026,0.1,0.689,93.99,-0.143,0.2,
815725,0.071,-0.109,-0.025,0.023,0.083,0.699,93.99,-0.142,0.204,
815725,0.048,-0.086,-0.014,0.027,0.057,0.708,93.99,-0.143,0.209,
815725,0.048,-0.086,-0.037,0.017,0.053,0.717,93.99,-0.142,0.21,
815725,0.06,-0.074,-0.002,0.037,0.062,0.74,95.15,-0.146,0.209,0.895
815725,0.083,-0.051,-0.025,0.014,0.083,0.749,95.15,-0.141,0.205,
815725,0.071,-0.063,-0.06,0.005,0.071,0.759,95.15,-0.14,0.208,
815725,0.083,-0.051,-0.037,0.018,0.081,0.768,95.15,-0.142,0.206,
815725,0.071,-0.04,-0.037,0.014,0.07,0.778,95.15,-0.142,0.209,
815725,0.06,-0.04,-0.025,0.022,0.056,0.787,95.15,-0.144,0.212,
815725,0.083,-0.028,-0.06,0.007,0.085,0.797,95.15,-0.141,0.206,
815725,0.071,-0.04,-0.071,0.008,0.073,0.806,95.15,-0.141,0.209,
815725,0.083,-0.005,-0.083,-0.007,0.094,0.816,95.15,-0.138,0.205,
815725,0.048,-0.04,-0.071,0.006,0.051,0.825,95.15,-0.141,0.214,
815725,0.071,-0.051,-0.094,0.021,0.073,0.848,97,-0.144,0.21,0.911
815725,0.037,-0.017,-0.094,-0.011,0.057,0.857,97,-0.137,0.213,
815725,0.048,-0.005,-0.106,-0.01,0.075,0.867,97,-0.138,0.21,
815725,0.06,-0.005,-0.06,0.021,0.064,0.877,97,-0.144,0.212,
815725,0.071,0.017,-0.094,0.012,0.096,0.886,97,-0.142,0.206,
815725,0.014,0.017,-0.071,-0.019,0.049,0.896,97,-0.136,0.216,
815725,0.037,0.04,-0.094,-0.012,0.085,0.906,97,-0.137,0.209,
815725,0.048,0.017,-0.083,0.013,0.074,0.916,97,-0.142,0.211,
815725,0.048,0.017,-0.094,0.014,0.079,0.925,97,-0.143,0.211,
815725,0.014,0.028,-0.071,-0.009,0.059,0.937,96.24,-0.138,0.215,
815725,0.014,0.017,-0.117,-0.011,0.078,0.946,96.24,-0.137,0.211,0.924
815725,0.025,0.074,-0.071,0.002,0.088,0.956,96.24,-0.14,0.209,
815725,0.014,0.04,-0.106,-0.003,0.085,0.966,96.24,-0.139,0.21,
815725,0.025,0.028,-0.083,0.015,0.067,0.975,96.24,-0.143,0.214,
815725,-0.008,0.04,-0.141,-0.018,0.103,0.985,96.24,-0.136,0.207,
815725,0.014,0.086,-0.094,0.011,0.105,0.995,96.24,-0.142,0.206,
815725,0.025,0.097,-0.094,0.029,0.11,0.004,96.24,-0.146,0.205,
815725,-0.031,0.04,-0.094,-0.024,0.08,0.014,96.24,-0.135,0.212,
815725,-0.02,0.063,-0.117,-0.004,0.106,0.023,96.24,-0.139,0.206,
815725,-0.008,0.086,-0.071,0.022,0.089,0.053,99.95,-0.145,0.21,
815725,-0.02,0.086,-0.106,0.024,0.11,0.063,99.95,-0.145,0.189,0.94
815725,-0.031,0.063,-0.06,0.003,0.078,0.073,99.95,-0.141,0.195,
815725,-0.02,0.063,-0.117,0.035,0.1,0.083,99.95,-0.147,0.19,
815725,-0.043,0.074,-0.048,0.003,0.083,0.093,99.95,-0.141,0.192,
815725,-0.031,0.063,-0.083,0.026,0.086,0.103,99.95,-0.146,0.191,
815725,-0.008,0.04,-0.037,0.022,0.039,0.113,99.95,-0.146,0.2,
815725,-0.02,0.074,-0.071,0.044,0.074,0.123,99.95,-0.15,0.193,
815725,-0.054,0.051,-0.037,0.001,0.075,0.133,99.95,-0.142,0.192,
815725,-0.043,0.017,-0.083,0.019,0.069,0.144,98.89,-0.145,0.193,
815725,-0.054,0.074,-0.037,0.022,0.081,0.154,98.89,-0.146,0.19,
815725,-0.054,0.04,-0.06,0.021,0.076,0.163,98.89,-0.146,0.206,0.954
815725,-0.043,0.051,-0.002,0.008,0.052,0.173,98.89,-0.144,0.212,
815725,-0.066,0.086,-0.025,0.032,0.086,0.183,98.89,-0.149,0.205,
815725,-0.077,0.074,-0.025,0.027,0.093,0.193,98.89,-0.148,0.204,
815725,-0.054,0.086,-0.048,0.059,0.074,0.203,98.89,-0.155,0.208,
815725,-0.066,0.063,0.02,0.009,0.07,0.213,98.89,-0.145,0.209,
815725,-0.077,0.063,-0.037,0.044,0.086,0.223,98.89,-0.152,0.206,
815725,-0.077,0.051,-0.014,0.029,0.081,0.233,98.89,-0.15,0.207,
815725,-0.089,0.051,-0.014,0.044,0.086,0.262,102.36,-0.153,0.206,
815725,-0.077,0.028,0.043,0.002,0.078,0.272,102.36,-0.145,0.208,
815725,-0.077,0.017,-0.002,0.027,0.073,0.282,102.36,-0.15,0.168,0.97
815725,-0.054,0.04,0.054,0.006,0.054,0.292,102.36,-0.146,0.171,
815725,-0.031,0.017,0.008,0.015,0.028,0.303,102.36,-0.148,0.174,
815725,-0.043,0.017,0.02,0.015,0.04,0.313,102.36,-0.148,0.171,
815725,-0.031,0.005,-0.002,0.018,0.026,0.323,102.36,-0.149,0.172,
815726,,,,,,,,,,
815726,-0.02,0.017,-0.002,-0.016,-0.016,0.794,103.46,-0.145,0.135,
815726,-0.008,-0.028,-0.014,0.004,-0.01,0.804,103.46,-0.149,0.133,
815726,-0.031,0.005,-0.002,-0.017,-0.027,0.815,103.46,-0.144,0.135,
815726,-0.02,-0.017,-0.037,-0.019,-0.012,0.825,103.46,-0.144,0.131,0.035
815726,-0.008,0.005,-0.002,-0.008,-0.004,0.835,103.46,-0.146,0.129,
815726,-0.031,0.005,-0.014,-0.027,-0.019,0.846,103.46,-0.142,0.131,
815726,-0.02,0.028,-0.025,-0.037,0.003,0.856,103.46,-0.14,0.126,
815726,-0.02,-0.017,0.031,0.007,-0.033,0.866,103.46,-0.148,0.132,
815726,-0.02,-0.005,-0.037,-0.027,0,0.877,103.46,-0.141,0.125,
815726,-0.031,-0.028,-0.002,-0.014,-0.031,0.887,103.46,-0.144,0.13,
815726,-0.031,-0.005,-0.037,-0.036,-0.003,0.901,103.23,-0.139,0.123,
815726,-0.008,-0.005,0.008,-0.002,-0.011,0.911,103.23,-0.146,0.124,
815726,0.002,-0.028,-0.002,0.009,-0.011,0.922,103.23,-0.148,0.123,
815726,-0.02,0.005,-0.002,-0.02,-0.003,0.932,103.23,-0.142,0.121,0.061
815726,-0.02,0.005,-0.002,-0.02,-0.002,0.942,103.23,-0.142,0.119,
815726,-0.031,0.017,0.008,-0.031,-0.004,0.953,103.23,-0.14,0.119,
815726,-0.008,-0.005,-0.002,-0.008,-0.003,0.963,103.23,-0.144,0.117,
815726,-0.008,0.017,-0.002,-0.01,0.01,0.973,103.23,-0.144,0.114,
815726,-0.054,-0.005,-0.06,-0.057,0.025,0.984,103.23,-0.134,0.109,
815726,-0.02,0.017,-0.037,-0.021,0.03,0.994,103.23,-0.141,0.107,
815726,-0.008,-0.04,-0.014,-0.011,-0.013,0.028,107.53,-0.143,0.115,
815726,-0.008,-0.04,-0.002,-0.013,-0.018,0.039,107.53,-0.142,0.115,
815726,-0.031,0.005,0.008,-0.03,0.008,0.049,107.53,-0.138,0.109,
815726,0.002,-0.017,-0.014,0.002,-0.002,0.06,107.53,-0.145,0.11,0.079
815726,0.002,-0.017,-0.014,0.001,-0.002,0.071,107.53,-0.145,0.109,
815726,-0.008,-0.04,-0.002,-0.018,-0.014,0.082,107.53,-0.141,0.11,
815726,-0.008,-0.04,-0.014,-0.015,-0.007,0.092,107.53,-0.141,0.108,
815726,-0.008,-0.005,-0.025,0,0.014,0.103,107.53,-0.144,0.103,
815726,0.014,0.028,0.02,0.014,-0.005,0.114,107.53,-0.147,0.106,
815726,-0.008,-0.017,-0.06,0.011,0.023,0.125,107.53,-0.146,0.099,
815726,-0.02,-0.04,0.008,-0.034,-0.003,0.135,107.53,-0.137,0.103,
815726,0.014,-0.028,-0.048,0.018,-0.003,0.14,105.17,-0.147,0.103,
815726,0.002,-0.04,0.02,-0.026,-0.022,0.151,105.17,-0.138,0.106,
815726,0.002,-0.04,-0.014,-0.011,-0.01,0.161,105.17,-0.141,0.102,0.095
815726,-0.008,-0.04,0.008,-0.029,-0.005,0.172,105.17,-0.138,0.1,
815726,-0.008,-0.017,-0.06,0.019,0.018,0.183,105.17,-0.147,0.095,
815726,-0.008,-0.028,-0.002,-0.017,0.002,0.193,105.17,-0.14,0.097,
815726,0.002,-0.017,-0.037,0.011,0,0.204,105.17,-0.146,0.096,
815726,-0.008,-0.017,-0.014,-0.003,0.008,0.214,105.17,-0.143,0.094,
815726,0.014,-0.017,-0.014,0,-0.014,0.225,105.17,-0.143,0.097,
815726,-0.008,-0.04,-0.014,-0.015,0.006,0.233,103.23,-0.14,0.092,
815726,0.002,-0.005,-0.014,0.005,-0.002,0.243,103.23,-0.144,0.093,
815726,0.025,-0.017,-0.025,0.004,-0.026,0.253,103.23,-0.144,0.097,
815726,-0.008,-0.028,-0.025,0,0.008,0.263,103.23,-0.143,0.089,0.109
815726,0.014,-0.005,-0.025,0.009,-0.015,0.274,103.23,-0.145,0.093,
815726,0.048,-0.028,-0.014,-0.018,-0.045,0.284,103.23,-0.139,0.098,
815726,0.002,0.017,-0.048,0.035,-0.013,0.294,103.23,-0.151,0.091,
815726,-0.008,-0.017,-0.014,0.001,0.008,0.305,103.23,-0.144,0.085,
815726,0.002,-0.04,-0.037,-0.002,-0.001,0.315,103.23,-0.143,0.086,
815726,-0.008,-0.017,-0.014,0.002,0.008,0.325,103.23,-0.144,0.083,
815726,0.002,-0.005,-0.06,0.025,-0.018,0.336,103.23,-0.149,0.088,
815726,0.014,-0.017,-0.025,-0.004,-0.014,0.346,103.23,-0.143,0.086,
815726,-0.031,-0.017,-0.071,0.044,0.005,0.356,103.23,-0.153,0.081,
815726,0.002,-0.005,-0.002,-0.003,-0.001,0.367,103.23,-0.143,0.082,0.109
815726,0.014,0.017,-0.06,0.02,-0.042,0.377,103.23,-0.148,0.089,
815726,0.014,-0.005,-0.037,0,-0.023,0.387,103.23,-0.144,0.085,
815726,0.002,0.005,-0.014,0.004,-0.011,0.398,103.23,-0.145,0.081,
815726,-0.008,-0.005,-0.06,0.021,-0.024,0.426,105.01,-0.149,0.083,
815726,-0.008,0.005,-0.048,0.02,-0.025,0.436,105.01,-0.149,0.083,
815726,0.014,0.005,-0.071,0.001,-0.047,0.447,105.01,-0.145,0.086,
815726,0.025,0.017,-0.048,-0.014,-0.043,0.457,105.01,-0.142,0.085,
815726,0.014,0.028,-0.071,-0.002,-0.059,0.468,105.01,-0.144,0.088,
815726,0.014,0.005,-0.037,-0.01,-0.026,0.478,105.01,-0.142,0.081,
815726,0.002,-0.005,-0.071,0,-0.038,0.489,105.01,-0.144,0.082,0.137
815726,,,,,,,,,,
815726,-0.054,-0.005,0.02,-0.027,-0.049,0.874,102.89,-0.132,0.067,
815726,-0.054,0.005,0.054,-0.022,-0.057,0.884,102.89,-0.133,0.069,
815726,-0.031,-0.005,0.02,-0.015,-0.031,0.894,102.89,-0.134,0.063,
